sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
msecw,f,1,general,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,<,>,>,<
wmsce,f,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wsemc,f,0,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
eswpcb,m,1,professional,town,yes,never,1,0,1,0,1,1,1,1,<,<,<,>,>,>,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,<,<,<,>,<,<
ewmsc,f,0,professional,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
sewmc,m,1,higher,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewsmc,m,0,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
swpcembd,m,1,higher,town,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,>,<,<,<,>,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmsc,f,0,general,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmsc,m,1,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmcs,f,1,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmcs,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewsmc,m,1,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
emwcs,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
escw,f,0,general,town,yes,once_a_week,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,>,>,<
emswc,f,0,general,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,=,<,n,>,>,>,>,>,>,>,>,<,<,<,>,<,<
wsce,f,0,higher,town,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wsec,f,0,general,town,yes,min_once_a_month,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,<,=,<,<
sewpcm,f,0,professional,town,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
ewmsc,m,1,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wemcs,f,0,professional,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewmcspd,f,0,professional,town,yes,sev_a_year,1,1,0,1,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,>
emscw,f,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,=,<,n,>,>,>,>,>,>,>,>,<,<,<,>,>,<
smewc,f,1,professional,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wemscpb,f,1,general,town,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,=,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewsmc,m,0,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wemcs,f,0,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
smcwe,m,1,higher,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,>,<
ewmsc,f,0,general,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewmc,m,0,professional,town,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmsc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wsepc,m,1,professional,town,yes,never,1,0,0,0,1,1,1,1,<,<,<,>,>,>,<,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewpmsc,m,0,higher,town,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wmsce,f,0,general,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wsemc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
wsmce,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
semcwd,m,1,higher,town,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,>,<
wmecs,f,0,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,<,=,<,<,>
ewcms,f,1,general,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wsmce,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
sewmc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmcs,f,1,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
sewmc,f,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmcs,m,1,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,>
emwcs,m,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
semcwdp,f,1,professional,town,yes,sev_a_year,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,<,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,>,<
sewmc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
ewmsc,f,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewmc,f,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewmc,f,0,professional,town,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
mswce,f,0,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
swemc,f,0,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
sewmc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
wmsce,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wmsec,m,0,general,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewpmcs,m,0,professional,town,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,<,=,n,>,>,>,>,>,>,>,>,=,<,<,<,<,>
ewsmc,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wmsecdp,f,0,general,town,yes,sev_a_year,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,<,>,=,<,>,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewmcs,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wmcse,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,>
wmsce,m,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
ewmsc,f,1,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wsemcdp,f,1,general,town,yes,sev_a_year,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,<,=,<,<
swmce,f,0,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
emscw,f,1,professional,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,=,<,n,>,>,>,>,>,>,>,>,<,<,<,>,>,<
swmce,m,1,higher,town,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmcs,m,0,professional,town,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
sewc,m,1,professional,village,no,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmscpb,f,0,professional,village,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,=,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
msecw,f,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,<,>,>,<
ewmsc,f,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wsemc,m,0,general,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
spmcwe,m,0,professional,village,yes,never,1,1,0,0,1,1,1,1,<,<,<,<,<,>,<,<,<,<,<,>,=,n,>,>,>,>,>,>,>,>,>,>,>,>,>,<
sewc,f,1,professional,village,yes,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,=,>,<,>,<,<
secw,f,0,professional,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,>,<
wmsce,f,0,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,=,<,n,>,>,>,>,>,>,>,>,>,>,>,<,<,<
wsepcm,f,0,professional,village,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
sewmc,f,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
smcew,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
mecws,m,0,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,=,>,>
ecmswpb,f,0,general,village,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,<,=,>,<,>,>,>,>,>,>,>,>,<,<,<,>,>,>
mecw,f,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,0,1,>,n,n,>,>,n,>,<,<,<,<,<,<,n,>,>,n,>,>,>,n,>,<,<,<,<,>,>
ewmsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
mscew,f,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,=,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
smcew,f,0,higher,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
mcwes,f,0,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,>,<,>,<,>,>
emwcs,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmsc,f,0,general,village,yes,once_a_week,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmscd,f,0,general,village,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewpsmc,m,1,professional,village,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewpmscbd,f,1,professional,village,yes,never,1,1,1,1,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,=,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
smwecdpb,f,0,professional,village,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,>,>,>,>,>,<,<,<,=,>,<,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<
ewsc,f,0,general,village,yes,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewpscb,f,0,general,village,yes,sev_a_year,1,0,1,0,1,1,1,1,<,<,<,>,>,=,<,>,n,>,>,>,>,<,>,>,>,>,>,>,>,>,=,<,<,<,<,<
emcwpbs,f,0,professional,village,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,<,>,<,<,>,<,<,<,<,>,>,<,>,>,>,>,>,<,<,<,<,>,>
wsemc,f,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,=,<,<
spmcwe,f,1,professional,village,yes,never,1,1,0,0,1,1,1,1,<,<,<,<,<,>,<,<,<,<,<,>,=,n,>,>,>,>,>,>,>,>,>,>,>,>,>,<
wepcmsb,f,0,professional,village,yes,never,1,1,1,0,1,1,1,1,<,<,<,>,>,<,<,<,<,>,>,<,>,<,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewmscdpb,f,0,general,village,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewsc,f,0,general,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wepcbsm,m,0,professional,village,yes,never,1,1,1,0,1,1,1,1,<,<,<,>,>,<,<,>,<,>,>,>,>,<,>,>,<,>,>,>,>,>,>,<,<,<,<,>
wmcesdp,f,0,professional,village,yes,never,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,<,>,<,<,>,>,>,>,>,>,>,>,>,>,<,>,<,<,>
smwce,m,0,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
ewmcsdp,f,1,professional,village,yes,never,1,1,0,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmsc,m,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewcs,f,1,professional,village,yes,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
semwc,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewsmc,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
ewsc,f,0,general,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewsc,f,0,general,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wpecsm,m,1,professional,village,yes,never,1,1,0,0,1,1,1,1,<,<,<,<,>,<,<,<,<,>,>,>,>,n,>,>,>,>,>,>,>,>,>,<,=,<,<,>
wemsc,m,0,general,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewsmc,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wemsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewmsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
ewpscmb,m,0,general,village,yes,never,1,1,1,0,1,1,1,1,<,<,<,>,>,=,<,<,<,>,>,>,>,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewsmc,m,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmcs,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmcs,f,1,higher,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmcs,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
swmec,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,>,<,<
semwc,f,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewmsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewcms,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
ewmsc,f,1,general,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
pcmsewb,m,1,general,village,yes,never,1,1,1,0,1,1,1,1,<,<,<,<,<,<,<,<,<,<,<,<,>,<,>,>,>,>,>,>,>,>,<,>,>,>,>,>
smecw,f,1,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,>,<
ewmscpb,f,0,general,village,yes,sev_a_year,1,1,1,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,=,<,<,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewspmc,m,1,professional,village,yes,sev_a_year,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,=,<,<,<,<,<
wemcs,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,=,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewsmcpdb,m,0,professional,village,yes,never,1,1,1,1,1,1,1,1,>,<,=,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmsc,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wemcs,f,0,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,>
ewsc,f,0,general,village,yes,sev_a_year,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wsemc,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
sewc,f,0,professional,village,yes,never,0,0,0,0,1,1,1,1,n,n,n,>,>,>,>,n,n,>,>,>,>,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
sewmc,f,0,professional,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
ewsmc,f,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmscdpb,f,0,general,village,yes,sev_a_year,1,1,1,1,1,1,1,1,>,<,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewmcd,f,1,professional,village,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,>,<,>,>,>,>,>,>,>,>,>,<,>,<,>,<,<
emcsw,f,1,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,<,<,<,n,>,>,>,>,>,>,>,>,<,<,<,>,>,>
ewsmcp,m,0,professional,village,yes,never,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
ewmcs,f,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,>
wmesc,m,0,professional,village,yes,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,=,>,<,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
ewmscp,m,0,professional,village,yes,never,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,<,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
mscew,f,1,general,village,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,<,<,n,>,>,>,>,>,>,>,>,<,>,>,>,>,<
